hit_id,assignment_id,worker_id,variable,value
5285046147049643785,7324433424687744959,A1YSYI926BBOHW,studyId,round-numbers-rating-2021
5285046147049643785,7324433424687744959,A1YSYI926BBOHW,workerId,17545106091201293652
5285046147049643785,7324433424687744959,A1YSYI926BBOHW,finish_time,2021-08-10 11:58:11
5285046147049643785,7324433424687744959,A1YSYI926BBOHW,submit_time,2021-08-10 11:58:16
5285046147049643785,7324433424687744959,A1YSYI926BBOHW,task1_start_time,2021-08-10 11:53:55
5285046147049643785,7324433424687744959,A1YSYI926BBOHW,task1_template,"DNA evidence suggests that throughout history, _____ people have been affected by the disease."
5285046147049643785,7324433424687744959,A1YSYI926BBOHW,task1_given_number,"22,950,432"
5285046147049643785,7324433424687744959,A1YSYI926BBOHW,task1_option1_number,"22,950,432"
5285046147049643785,7324433424687744959,A1YSYI926BBOHW,task1_option1_rating,too-precise
5285046147049643785,7324433424687744959,A1YSYI926BBOHW,task1_option2_number,22.95043 million
5285046147049643785,7324433424687744959,A1YSYI926BBOHW,task1_option2_rating,too-precise
5285046147049643785,7324433424687744959,A1YSYI926BBOHW,task1_option3_number,22.9504 million
5285046147049643785,7324433424687744959,A1YSYI926BBOHW,task1_option3_rating,too-precise
5285046147049643785,7324433424687744959,A1YSYI926BBOHW,task1_option4_number,22.95 million
5285046147049643785,7324433424687744959,A1YSYI926BBOHW,task1_option4_rating,looks-good
5285046147049643785,7324433424687744959,A1YSYI926BBOHW,task1_option5_number,23 million
5285046147049643785,7324433424687744959,A1YSYI926BBOHW,task1_option5_rating,looks-good
5285046147049643785,7324433424687744959,A1YSYI926BBOHW,task1_option6_number,20 million
5285046147049643785,7324433424687744959,A1YSYI926BBOHW,task1_option6_rating,too-round
5285046147049643785,7324433424687744959,A1YSYI926BBOHW,task2_start_time,2021-08-10 11:54:19
5285046147049643785,7324433424687744959,A1YSYI926BBOHW,task2_template,"In a recent report, the hospital group disclosed that it spent $_____ on healthcare equipment."
5285046147049643785,7324433424687744959,A1YSYI926BBOHW,task2_given_number,"6,363"
5285046147049643785,7324433424687744959,A1YSYI926BBOHW,task2_option1_number,"6,363"
5285046147049643785,7324433424687744959,A1YSYI926BBOHW,task2_option1_rating,looks-good
5285046147049643785,7324433424687744959,A1YSYI926BBOHW,task2_option2_number,"6,360"
5285046147049643785,7324433424687744959,A1YSYI926BBOHW,task2_option2_rating,looks-good
5285046147049643785,7324433424687744959,A1YSYI926BBOHW,task2_option3_number,"6,400"
5285046147049643785,7324433424687744959,A1YSYI926BBOHW,task2_option3_rating,looks-good
5285046147049643785,7324433424687744959,A1YSYI926BBOHW,task2_option4_number,"6,000"
5285046147049643785,7324433424687744959,A1YSYI926BBOHW,task2_option4_rating,too-round
5285046147049643785,7324433424687744959,A1YSYI926BBOHW,task3_start_time,2021-08-10 11:54:30
5285046147049643785,7324433424687744959,A1YSYI926BBOHW,task3_template,Astronomers have recently discovered a similar celestial body with a diameter of _____ miles.
