WorkerId,UPDATE-taken-round-numbers-rating-2021
A1YSYI926BBOHW,1
A26ZENZ5G8AEGM,1
A33VGSEJ44ORMF,1
A3A8P4UR9A0DWQ,1
A3B7TNVOISSZ2O,1
A3UUH3632AI3ZX,1
AQXRHIMQ7UK7O,1
A1MJVTR0PCKBWW,1
A1V2H0UF94ATWY,1
A2MCG5W6LHSRG9,1
AVFHRN0S32V2H,1
A27HVVLSZZ13XK,1
A1CF6U3GF7DZEJ,1
A1R0689JPSQ3OF,1
A183WYXN12P2TJ,1
A1EUBMQ86K32XE,1
A4W9APAHFWVLO,1
AQ53YJDPDDLZ,1
ACSS93E03ZUGX,1
A1CFMY4CEYOM8Y,1
A3SDFAOJW87FGP,1
A2FE6HDHREXIJ5,1
A22KRF782ELLB0,1
A20CZCJPRP54G9,1
A1Y25W1Y7KDE5,1
A2SWQM5X54P1O5,1
AQJWO4YPR3LUQ,1
A37S96RT1P1IT2,1
A26K8OELA8ZDI9,1
A2VC1UC5Q0E9PO,1
A3E8SXH0BAYG85,1
A3B9OZQTE4US3T,1
AD1WGUMVD6KED,1
A38BNV13AV0S8Y,1
A1LXW53Z5S9XG,1
A2HHKBW8HQWI66,1
A9HQ3E0F2AGVO,1
A87D3K9YVKTQ7,1
APGX2WZ59OWDN,1
ADJ9I7ZBFYFH7,1
A27W025UEXS1G0,1
AOIR8V07FYMH5,1
A207IHY6GERCFO,1
AW0MG225VXWCN,1
A2EI075XZT9Y2S,1
A1P6OXEJ86HQRM,1
A358YR7MWC6LRH,1
A3FGT6EU39C6S4,1
AXMPSUNKUBEIL,1
A24LUXW1DB1QI5,1
A1PJLZSOUQ4MIL,1
A3LRZX8477TYYZ,1
A3N7R7P9HP2YB6,1
A313JEGCVV2UES,1
A3GK90X2QOFR53,1
A3DS5B06ZCD3E3,1
A3OZ8KF0HWSVWK,1
A3HNEYFOIJWPH1,1
A1J8TVICSRC70W,1
A1DD23J1WBGQUU,1
A1QG4N21BF61PC,1
AURYD2FH3FUOQ,1
A24LC97AU3QC7G,1
A2R0YYUAWNT7UD,1
AFU00NU09CFXE,1
A2HM35CWB7IIFM,1
A3D9L5CQXK1YJL,1
A2DTELFC4X0QJQ,1
A4SC8G0149GEG,1
A18G2CLYSTENK,1
A1153ZIEQX0ZJ8,1
A3HMDGRGC5JB7E,1
A26UIS59SY4NM6,1
A2389DERMNF3ZB,1
AEWGY34WUIA32,1
AMG9Y1YLBTKIV,1
A1XUZFDVKP95VC,1
A2FBT0BSFOV91D,1
A3O7X46E3REM7I,1
A3LFVI65XV1T46,1
